action;tote_batch_id;timestamp;location
batch-consolidate-start;batch-12;2022-11-08 07:15:35.237000;consolidation
tote-finished;258;2022-11-08 07:15:42.353000;consolidation
tote-finished;576;2022-11-08 07:15:49.421000;consolidation
tote-finished;831;2022-11-08 07:15:55.434000;consolidation
tote-finished;748;2022-11-08 07:16:01.538000;consolidation
tote-finished;321;2022-11-08 07:16:05.253000;consolidation
tote-finished;13;2022-11-08 07:16:10.628000;consolidation
add-to-batch_14;81;2022-11-08 07:16:12.781000;buffer
tote-finished;341;2022-11-08 07:16:16.243000;consolidation
tote-finished;975;2022-11-08 07:16:24.166000;consolidation
tote-finished;771;2022-11-08 07:16:30.965000;consolidation
tote-finished;63;2022-11-08 07:16:37.893000;consolidation
add-to-batch_14;683;2022-11-08 07:16:37.942000;buffer
add-to-batch_14;408;2022-11-08 07:16:42.927000;buffer
tote-finished;908;2022-11-08 07:16:44.354000;consolidation
batch-consolidate-end;batch-12;2022-11-08 07:16:51.461000;consolidation
tote-finished;953;2022-11-08 07:16:51.461000;consolidation
add-to-batch_14;127;2022-11-08 07:17:07.779000;buffer
add-to-batch_14;512;2022-11-08 07:18:22.086000;buffer
add-to-batch_14;376;2022-11-08 07:18:34.925000;buffer
add-to-batch_14;532;2022-11-08 07:18:40.362000;buffer
add-to-batch_14;438;2022-11-08 07:18:42.477000;buffer
add-to-batch_14;368;2022-11-08 07:18:44.510000;buffer
batch-full;batch-14;2022-11-08 07:18:44.510000;buffer
batch-release;batch-14;2022-11-08 07:18:44.510000;buffer
batch-pick-start;batch-14;2022-11-08 07:18:44.510000;buffer
new-batch;batch-15;2022-11-08 07:18:59.456000;buffer
add-to-batch_15;17;2022-11-08 07:18:59.456000;buffer
add-to-batch_15;31;2022-11-08 07:19:20.024000;buffer
add-to-batch_15;829;2022-11-08 07:19:49.150000;buffer
add-to-batch_15;186;2022-11-08 07:21:15.072000;buffer
add-to-batch_15;922;2022-11-08 07:21:24.581000;buffer
add-to-batch_15;525;2022-11-08 07:21:26.816000;buffer
add-to-batch_15;534;2022-11-08 07:22:50.222000;buffer
add-to-batch_15;714;2022-11-08 07:22:56.802000;buffer
batch-pick-end;batch-13;2022-11-08 07:23:07.395000;buffer
batch-consolidate-start;batch-13;2022-11-08 07:23:07.395000;consolidation
tote-finished;574;2022-11-08 07:23:12.300000;consolidation
tote-finished;467;2022-11-08 07:23:19.455000;consolidation
tote-finished;741;2022-11-08 07:23:24.845000;consolidation
tote-finished;584;2022-11-08 07:23:31.198000;consolidation
tote-finished;806;2022-11-08 07:23:36.428000;consolidation
tote-finished;857;2022-11-08 07:23:42.786000;consolidation
tote-finished;949;2022-11-08 07:23:50.632000;consolidation
tote-finished;101;2022-11-08 07:23:58.260000;consolidation
